
{date:2019-06-28 19:58:13.531, level:INFO , process:http-nio-8089-exec-4, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
{date:2019-06-29 17:50:23.249, level:DEBUG, process:http-nio-8089-exec-2, class:com.authorizationapi.service.UserService, msg:Loaded user from database! Username: user1}
{date:2019-06-29 17:50:23.796, level:INFO , process:http-nio-8089-exec-2, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
{date:2019-06-29 17:59:14.717, level:DEBUG, process:http-nio-8089-exec-6, class:com.authorizationapi.service.UserService, msg:Date from token: Sat Jul 06 17:50:23 CEST 2019}
{date:2019-06-29 17:59:14.809, level:DEBUG, process:http-nio-8089-exec-6, class:com.authorizationapi.service.UserService, msg:Token is not present in blacklsit!}
{date:2019-06-29 17:59:14.811, level:INFO , process:http-nio-8089-exec-6, class:com.authorizationapi.service.UserService, msg:Successfully logout!}
{date:2019-06-29 17:59:26.990, level:DEBUG, process:http-nio-8089-exec-9, class:com.authorizationapi.service.UserService, msg:Loaded user from database! Username: user1}
{date:2019-06-29 17:59:27.211, level:INFO , process:http-nio-8089-exec-9, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
{date:2019-06-29 18:05:12.879, level:DEBUG, process:http-nio-8089-exec-5, class:com.authorizationapi.service.UserService, msg:Date from token: Sat Jul 06 17:59:27 CEST 2019}
{date:2019-06-29 18:05:12.972, level:DEBUG, process:http-nio-8089-exec-5, class:com.authorizationapi.service.UserService, msg:Token is not present in blacklsit!}
{date:2019-06-29 18:05:12.973, level:INFO , process:http-nio-8089-exec-5, class:com.authorizationapi.service.UserService, msg:Successfully logout!}
{date:2019-06-29 18:07:15.428, level:DEBUG, process:http-nio-8089-exec-4, class:com.authorizationapi.service.UserService, msg:Loaded user from database! Username: user1}
{date:2019-06-29 18:07:15.631, level:INFO , process:http-nio-8089-exec-4, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
{date:2019-06-29 18:07:28.281, level:DEBUG, process:http-nio-8089-exec-6, class:com.authorizationapi.service.UserService, msg:Date from token: Sat Jul 06 18:07:15 CEST 2019}
{date:2019-06-29 18:07:28.379, level:DEBUG, process:http-nio-8089-exec-6, class:com.authorizationapi.service.UserService, msg:Token is not present in blacklsit!}
{date:2019-06-29 18:07:28.380, level:INFO , process:http-nio-8089-exec-6, class:com.authorizationapi.service.UserService, msg:Successfully logout!}
{date:2019-06-29 18:08:29.863, level:DEBUG, process:http-nio-8089-exec-10, class:com.authorizationapi.service.UserService, msg:Loaded user from database! Username: user1}
{date:2019-06-29 18:08:30.068, level:INFO , process:http-nio-8089-exec-10, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
{date:2019-06-29 18:37:24.105, level:DEBUG, process:http-nio-8089-exec-3, class:com.authorizationapi.service.UserService, msg:Date from token: Sat Jul 06 18:08:30 CEST 2019}
{date:2019-06-29 18:37:24.207, level:DEBUG, process:http-nio-8089-exec-3, class:com.authorizationapi.service.UserService, msg:Token is not present in blacklsit!}
{date:2019-06-29 18:37:24.208, level:INFO , process:http-nio-8089-exec-3, class:com.authorizationapi.service.UserService, msg:Successfully logout!}
{date:2019-06-29 18:37:40.868, level:DEBUG, process:http-nio-8089-exec-4, class:com.authorizationapi.service.UserService, msg:Loaded user from database! Username: user1}
{date:2019-06-29 18:37:41.093, level:INFO , process:http-nio-8089-exec-4, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
{date:2019-06-29 20:08:59.159, level:DEBUG, process:http-nio-8089-exec-8, class:com.authorizationapi.service.UserService, msg:Date from token: Sat Jul 06 18:37:41 CEST 2019}
{date:2019-06-29 20:08:59.269, level:DEBUG, process:http-nio-8089-exec-8, class:com.authorizationapi.service.UserService, msg:Token is not present in blacklsit!}
{date:2019-06-29 20:08:59.270, level:INFO , process:http-nio-8089-exec-8, class:com.authorizationapi.service.UserService, msg:Successfully logout!}
{date:2019-06-29 20:09:28.769, level:DEBUG, process:http-nio-8089-exec-10, class:com.authorizationapi.service.UserService, msg:Loaded user from database! Username: cikacoa}
{date:2019-06-29 20:09:29.012, level:INFO , process:http-nio-8089-exec-10, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
{date:2019-06-29 23:31:09.618, level:DEBUG, process:http-nio-8089-exec-3, class:com.authorizationapi.service.UserService, msg:Date from token: Sat Jul 06 20:09:29 CEST 2019}
{date:2019-06-29 23:31:09.734, level:DEBUG, process:http-nio-8089-exec-3, class:com.authorizationapi.service.UserService, msg:Token is not present in blacklsit!}
{date:2019-06-29 23:31:09.734, level:INFO , process:http-nio-8089-exec-3, class:com.authorizationapi.service.UserService, msg:Successfully logout!}
{date:2019-06-29 23:31:49.881, level:DEBUG, process:http-nio-8089-exec-4, class:com.authorizationapi.service.UserService, msg:Loaded user from database! Username: cikacoa}
{date:2019-06-29 23:31:50.108, level:INFO , process:http-nio-8089-exec-4, class:com.authorizationapi.service.UserService, msg:Successfully logged in!}
